Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/recommendations/:user_id,1396,218,2600.0,14624.235965114647,73.84850000000398,62183.0091,110.37392550143267,13.014608628544424,2.0323672500162497,2600,6700,16000,29000,60000,60000,60000,62000,62000,62000,62000
,Aggregated,1396,218,2600.0,14624.235965114647,73.84850000000398,62183.0091,110.37392550143267,13.014608628544424,2.0323672500162497,2600,6700,16000,29000,60000,60000,60000,62000,62000,62000,62000
