Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/recommendations/:user_id,780940,1221,140.0,353.4971199735121,15.864799999917523,62213.42410000001,107.35058135067995,651.1389172820994,1.0180559556450475,140,150,170,200,400,730,1900,3400,60000,60000,62000
,Aggregated,780940,1221,140.0,353.4971199735121,15.864799999917523,62213.42410000001,107.35058135067995,651.1389172820994,1.0180559556450475,140,150,170,200,400,730,1900,3400,60000,60000,62000
