Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,208126,0,38,71.83691302662646,18.566299928352237,5268.15879996866,22.0,231.31973663008336,0.0,38,44,50,55,82,160,390,710,3600,4300,5300
,Aggregated,208126,0,38,71.83691302662646,18.566299928352237,5268.15879996866,22.0,231.31973663008336,0.0,38,44,50,55,82,160,390,710,3600,4300,5300
