Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,31,0,620.0,1897.1132513158204,302.30441701132804,3772.227833047509,643.2258064516129,0.26065586312582933,0.0,620,3400,3500,3500,3500,3800,3800,3800,3800,3800,3800
,Aggregated,31,0,620.0,1897.1132513158204,302.30441701132804,3772.227833047509,643.2258064516129,0.26065586312582933,0.0,620,3400,3500,3500,3500,3800,3800,3800,3800,3800,3800
