Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,210071,0,38,59.09134876632816,19.357900018803775,3874.63169998955,22.0,233.4324897878774,0.0,38,43,47,51,66,97,230,590,2400,2600,3900
,Aggregated,210071,0,38,59.09134876632816,19.357900018803775,3874.63169998955,22.0,233.4324897878774,0.0,38,43,47,51,66,97,230,590,2400,2600,3900
